Question,Type,Required,Options
"Nama Lengkap","Short answer","TRUE",""
"NIP","Short answer","TRUE",""
"Jabatan/Posisi","Short answer","TRUE",""
"Unit Kerja","Short answer","TRUE",""
"Anda adalah:","Multiple choice","TRUE","Pokja Pemilihan,Tim Penilai (Timlak)"
"Tanggal Pengisian","Date","TRUE",""
"Sudah berapa kali Anda menggunakan aplikasi BA Generator?","Multiple choice","TRUE","Baru pertama kali (1x),2-3 kali,4-5 kali,Lebih dari 5 kali"
"Fitur apa saja yang Anda gunakan? (boleh pilih lebih dari 1)","Checkboxes","TRUE","BA Pokja Konsultan,BA Timlak Konsultan,Persiapan Pembuktian Kualifikasi,Auto-fill data SPSE,Save/Load data,Preview keywords"
"Berapa lama waktu yang Anda butuhkan untuk generate 1 set dokumen BA?","Multiple choice","TRUE","Kurang dari 5 menit,5-10 menit,10-15 menit,15-30 menit,Lebih dari 30 menit"
"Aplikasi mudah dijalankan/dibuka (1=Sangat Tidak Setuju, 5=Sangat Setuju)","Linear scale","TRUE","1,2,3,4,5"
"Antarmuka (tampilan) aplikasi mudah dipahami","Linear scale","TRUE","1,2,3,4,5"
"Petunjuk penggunaan dalam aplikasi jelas dan membantu","Linear scale","TRUE","1,2,3,4,5"
"Form input data mudah diisi","Linear scale","TRUE","1,2,3,4,5"
"Fitur Save/Load data memudahkan pekerjaan saya","Linear scale","TRUE","1,2,3,4,5"
"Fitur auto-fill SPSE menghemat waktu saya","Linear scale","TRUE","1,2,3,4,5"
"Dokumen yang dihasilkan sesuai dengan kebutuhan","Linear scale","TRUE","1,2,3,4,5"
"Format dokumen hasil generate sudah rapi dan profesional","Linear scale","TRUE","1,2,3,4,5"
"Replacement keywords (placeholder) bekerja dengan baik","Linear scale","TRUE","1,2,3,4,5"
"Dokumen hasil generate tidak perlu banyak edit manual","Linear scale","TRUE","1,2,3,4,5"
"Sebelum menggunakan BA Generator, berapa lama waktu yang Anda butuhkan untuk membuat 1 set dokumen BA secara manual?","Multiple choice","TRUE","30 menit - 1 jam,1-2 jam,2-3 jam,Lebih dari 3 jam"
"Aplikasi ini menghemat waktu pembuatan dokumen BA","Linear scale","TRUE","1,2,3,4,5"
"Aplikasi ini mengurangi risiko kesalahan dalam dokumen","Linear scale","TRUE","1,2,3,4,5"
"Aplikasi ini meningkatkan produktivitas kerja saya","Linear scale","TRUE","1,2,3,4,5"
"Saya akan merekomendasikan aplikasi ini kepada rekan kerja","Linear scale","TRUE","1,2,3,4,5"
"Secara keseluruhan, seberapa puas Anda dengan aplikasi BA Generator?","Multiple choice","TRUE","Sangat Tidak Puas,Tidak Puas,Cukup Puas,Puas,Sangat Puas"
"Apakah Anda mengalami masalah/error saat menggunakan aplikasi?","Multiple choice","TRUE","Ya (jelaskan di pertanyaan berikutnya),Tidak"
"Performa aplikasi (kecepatan/responsif):","Multiple choice","TRUE","Sangat Lambat,Lambat,Cukup,Cepat,Sangat Cepat"
"Apa yang Anda SUKAI dari aplikasi ini?","Paragraph","TRUE",""
"Apa yang PERLU DIPERBAIKI dari aplikasi ini?","Paragraph","FALSE",""
"Fitur apa yang Anda INGINKAN untuk ditambahkan di versi berikutnya?","Paragraph","FALSE",""
"Apakah ada kendala/masalah yang Anda alami saat menggunakan aplikasi? (Jelaskan detail: jenis error, kapan terjadi, dll)","Paragraph","FALSE",""
"Saran dan masukan lain untuk pengembangan aplikasi:","Paragraph","FALSE",""
"Setelah menggunakan aplikasi ini, pekerjaan pembuatan BA saya menjadi:","Multiple choice","TRUE","Jauh lebih mudah,Lebih mudah,Sama saja,Lebih sulit,Jauh lebih sulit"
"Estimasi penghematan waktu dengan aplikasi ini (per set dokumen):","Multiple choice","TRUE","Tidak ada penghematan,10-30 menit,30 menit - 1 jam,1-2 jam,Lebih dari 2 jam"
"Apakah aplikasi ini membantu meningkatkan kualitas dokumen BA Anda?","Multiple choice","TRUE","Ya sangat membantu,Ya cukup membantu,Tidak ada perbedaan,Tidak membantu"
"Apakah Anda berencana terus menggunakan aplikasi ini?","Multiple choice","TRUE","Ya pasti,Ya kemungkinan besar,Mungkin,Kemungkinan kecil,Tidak"
"Jika Anda bersedia memberikan testimoni untuk dokumentasi program aktualisasi, silakan tulis di bawah ini:","Paragraph","FALSE",""
"Saya mengizinkan testimoni ini digunakan untuk dokumentasi program","Checkboxes","FALSE","Ya, saya mengizinkan"
